PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
145,82297336,104.6455765,-40.56630707,72.64433289,7.233231068,13.88732243,-0.244080335,-22.16644096,-14.09534073,-14.61750793, 
146,82314003,104.463295,-40.55857086,71.99790192,4.279123783,16.51965904,-0.255177885,-36.11207962,-28.25276566,7.582257271, 
147,82330670,104.1816711,-40.95828247,70.99645996,3.873681545,17.9712429,-1.74088645,-56.05933762,-37.77656174,35.17278671, 
148,82347337,104.3938446,-41.73955154,69.87438965,7.895118713,15.59529686,-1.690981388,-31.66807365,-37.00180435,58.6341362, 
149,82364004,105.164917,-42.76099396,69.05635834,9.306365013,12.41823101,-2.343512058,13.34757328,-19.08827591,69.27360535, 
150,82380671,106.1030731,-43.8296814,68.60691833,9.191880226,11.72036076,-4.000931263,37.88023758,-1.214362383,67.76970673, 
151,82397338,106.5952072,-44.75795746,68.35071564,9.636329651,11.0424614,-4.453184605,18.86979294,5.532087803,57.26047134, 
152,82414005,106.6436462,-45.48452377,68.24417114,9.966815948,8.726978302,-4.021927357,-1.557621598,8.565747261,43.77056885, 
153,82430672,106.5432816,-46.08740234,68.38770294,9.635144234,8.423745155,-3.381452084,0.209083915,16.50126266,33.63037872, 
154,82447339,106.6257553,-46.78768921,68.67810822,8.675726891,10.09667969,-2.565421343,17.62374687,23.91230392,37.49383163, 
155,82464006,106.96064,-47.8339653,69.02494812,7.591555595,11.63804245,-2.092502356,35.43614578,32.0550499,56.66778183, 
156,82480673,107.3874969,-49.38605881,69.44809723,6.700285435,12.43859577,-2.323008299,44.71107864,43.95116043,84.67115021, 
157,82497340,107.805397,-51.59985352,69.97198486,5.6614604,12.71482658,-2.363675594,49.37700653,59.64289856,121.2452469, 
158,82514007,108.0552521,-54.46834564,70.60517883,4.497978687,11.9486599,-2.149740219,45.40429688,75.16607666,157.4245758, 
159,82530674,107.9123001,-57.97708511,71.46932983,3.505141258,10.69663715,-2.160440922,34.59344864,92.88137817,192.074707, 
160,82547341,107.0076447,-62.06129837,72.83818054,2.423929214,9.454253197,-2.078398943,16.96158791,113.1564407,222.2034454, 
161,82564008,105.2926025,-66.66532898,74.75965118,1.548477888,7.781946182,-1.663271904,1.185719371,125.2448959,252.2279053, 
162,82580675,102.5851135,-71.60469818,77.49822235,1.256003976,5.16599369,-1.32816267,-8.691756248,128.6868591,274.276062, 
163,82597342,97.54283142,-76.76255798,82.40834808,1.292087913,4.057166576,-1.523754835,-18.69696617,133.6021576,291.2212524, 
164,82614009,84.9907608,-81.99567413,94.51394653,0.800802171,3.653386354,-1.448403835,-38.30579758,141.0514526,310.0423584, 
165,82630676,39.03332901,-85.93273163,139.4051819,-0.545772076,2.542095423,-0.730186939,-75.88096619,141.8789063,323.2565613, 
166,82647343,-30.59730721,-83.806633,-152.9298248,-2.528283358,1.641285658,-0.504499078,-129.9781036,131.4017181,334.5761719, 
167,82664010,-52.91740036,-78.15585327,-133.7787018,-3.595307112,0.81681639,-2.924940586,-202.4556427,130.4327545,357.3304443, 
168,82680677,-62.83537292,-71.49069977,-127.5849457,-4.399030685,-2.573962927,-2.49578023,-235.4386139,130.4142761,390.7955322, 
169,82697344,-68.38396454,-64.57757568,-125.1473465,-4.084662437,-6.942107677,-0.428156435,-196.7274475,121.8387222,401.0709839, 
170,82714011,-71.51247406,-57.65180206,-123.9894943,-3.557458878,-8.91285038,0.104112104,-126.5632706,111.3255692,402.4932251, 
171,82730678,-73.1037674,-50.71146774,-123.3601151,-2.588178635,-10.68508911,-1.29547894,-64.68626404,105.8537445,403.9456787, 
172,82747345,-73.06838226,-43.63706589,-123.3688583,-2.353478909,-9.489229202,-2.682993412,1.773982525,124.1884689,406.3879089, 
173,82764012,-72.25940704,-36.21310043,-123.6823654,-2.634362936,-7.286139488,-4.412117004,36.43848038,146.8602295,421.209137, 
174,82780679,-71.71862793,-28.74059677,-124.2629013,-2.40777421,-10.1915102,-6.707568645,13.75470734,166.9420929,417.5402222, 
175,82797346,-71.30371094,-21.80706596,-125.6708527,-2.005819321,-18.08703232,-7.093292713,-11.11161423,204.7553558,370.4877014, 
176,82814013,-70.36422729,-15.39278793,-127.8884125,-0.996191025,-21.76704788,-6.052257061,14.0167408,245.8457184,322.1959839, 
177,82830680,-68.99274445,-9.187398911,-130.6921844,-0.509709895,-21.14811516,-5.118999004,46.6078186,283.8093262,292.0674744, 
