PacketCounter,Euler_X,Euler_Y,Euler_Z,Unnamed: 11
234,-34.51844406,30.39331055,-162.5846558, 
235,-35.0455513,33.24353409,-161.05084230000003, 
236,-35.35422134,36.062603,-159.6455688, 
237,-35.70607758,38.88557053,-158.2773743, 
238,-36.06885529,41.75513077,-156.8378906, 
239,-36.28056335,44.67468262,-155.25473019999998, 
240,-36.31637573,47.57535553,-153.40069580000002, 
241,-36.10936737,50.46243286,-151.1221619, 
242,-35.48788071,53.33108521,-148.33514399999999, 
243,-34.41679764,56.17388916,-145.09107969999997, 
244,-32.87064743,58.92432785,-141.37884519999997, 
245,-30.84257317,61.4577713,-137.1934967, 
246,-28.38928795,63.69298172,-132.520401, 
247,-25.9480896,65.65036774,-127.603508, 
248,-24.21642494,67.3046875,-122.90320590000002, 
249,-23.74725151,68.63965607,-118.86757659999998, 
250,-24.54839516,69.65179443,-115.755928, 
251,-26.20041847,70.36841583,-113.72221370000001, 
252,-28.12534142,70.89244843,-112.90668490000002, 
253,-29.7632637,71.33127594,-113.279068, 
254,-30.8256588,71.76773071,-114.6229553, 
255,-31.325450899999996,72.17782593,-116.59226229999999, 
256,-31.24815941,72.55025482,-118.60976409999998, 
257,-30.7491951,72.85145569,-120.27353670000001, 
258,-30.10779572,73.06324768,-121.42194369999999, 
259,-29.70538521,73.09518433,-122.15122990000002, 
260,-29.75481796,72.86727905,-122.60630800000001, 
261,-30.24424934,72.41496277,-122.8759689, 
262,-30.78701973,71.82575226,-122.8297348, 
263,-31.16921043,71.12015533,-122.5873642, 
264,-31.29180527,70.32141876,-122.348526, 
265,-31.10133934,69.47133636,-122.18379209999999, 
266,-30.71027946,68.54985046,-122.18589779999999, 
267,-30.34068489,67.45639801,-122.35315700000001, 
268,-30.18699074,66.18614197,-122.48515320000001, 
269,-30.36421776,64.82196808,-122.5437469, 
270,-30.66793251,63.43484497,-122.51862340000002, 
271,-30.80270195,61.97121048,-122.4149246, 
272,-30.66114616,60.44882965,-122.2804108, 
273,-30.38493347,58.93016815,-122.19738770000001, 
274,-30.14621544,57.44003296,-122.15435790000001, 
275,-30.01691628,56.03368378,-122.10910030000001, 
276,-29.73715782,54.63959885,-121.97115330000001, 
277,-29.0718441,53.25582504,-121.8407288, 
278,-28.15778542,51.89266586,-121.8352203, 
279,-27.32670021,50.53282547,-121.8705063, 
280,-26.84514618,49.11479568,-121.85410309999999, 
281,-26.559825899999996,47.58528137,-121.8029709, 
282,-26.20729446,46.06097031,-121.85049440000002, 
283,-25.70364571,44.58162689,-121.9550247, 
284,-25.18008614,43.09960175,-122.0735245, 
285,-24.673770899999997,41.61790085,-122.25101470000001, 
286,-23.99512291,40.18769455,-122.45169070000001, 
287,-23.1254673,38.95691299,-122.7574463, 
288,-22.06432152,37.88018799,-123.0995483, 
289,-20.93136787,36.96697998,-123.46390530000001, 
290,-19.85406494,36.22025299,-123.8536682, 
291,-18.89570808,35.62840652,-124.22013090000002, 
292,-18.1047287,35.21591949,-124.5363541, 
293,-17.43424606,34.98711014,-124.8090439, 
294,-16.821870800000003,34.90441132,-125.0288925, 
295,-16.32615852,34.94431686,-125.2036285, 
296,-15.9793644,35.06317139,-125.35867309999999, 
297,-15.71624184,35.25432587,-125.4907913, 
298,-15.47830009,35.52591705,-125.5461044, 
299,-15.30190659,35.83565903,-125.51262659999998, 
300,-15.24495029,36.11904907,-125.47278590000002, 
301,-15.34518814,36.37474442,-125.4797821, 
302,-15.50933456,36.62981796,-125.5139923, 
303,-15.64316177,36.87334061,-125.5463257, 
304,-15.742096900000002,37.10636902,-125.5832443, 
305,-15.80232906,37.28402328,-125.6001205, 
306,-15.78493977,37.40291595,-125.6179199, 
307,-15.67582417,37.50193787,-125.61346440000001, 
308,-15.60010242,37.59833908,-125.5971146, 
309,-15.62425041,37.66810608,-125.5741882, 
310,-15.70454502,37.70813751,-125.5379257, 
311,-15.75689793,37.74372864,-125.48278810000001, 
312,-15.7708559,37.79520035,-125.4099121, 
313,-15.79005241,37.8290596,-125.34084320000001, 
314,-15.84051323,37.82577896,-125.29434199999999, 
